/* DATA DESCRIPTION:
	TARA_20100523Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -12.200200 * LONGITUDE START: 49.445120 * LATITUDE END: -12.807780 * LONGITUDE END: 45.225030 * DATE/TIME START: 2010-05-23T00:00:00 * DATE/TIME END: 2010-05-26T00:00:00 * CAMPAIGN: TARA_20100523Z (Atseranana to Mamoudzou, Stations: TARA_053-054) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100530Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -12.700000 * LONGITUDE START: 45.200000 * LATITUDE END: -12.700000 * LONGITUDE END: 45.200000 * DATE/TIME START: 2010-05-30T00:00:00 * DATE/TIME END: 2010-06-18T00:00:00 * CAMPAIGN: TARA_20100530Z (Mamoudzou to Mamoudzou, Stations: Coral sampling) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100624Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -12.777500 * LONGITUDE START: 45.267060 * LATITUDE END: -34.165300 * LONGITUDE END: 18.219520 * DATE/TIME START: 2010-06-24T00:00:00 * DATE/TIME END: 2010-07-16T00:00:00 * CAMPAIGN: TARA_20100624Z (Mamoudzou to Cape Town, Stations: TARA_055-066) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20100905Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -32.121110 * LONGITUDE START: 17.699580 * LATITUDE END: -8.337680 * LONGITUDE END: -12.741910 * DATE/TIME START: 2010-09-05T00:00:00 * DATE/TIME END: 2010-09-29T00:00:00 * CAMPAIGN: TARA_20100905Z (CapeTown to Ascencion, Stations: TARA_067-071) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20101003Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -7.922800 * LONGITUDE START: -14.453090 * LATITUDE END: -19.740140 * LONGITUDE END: -34.322400 * DATE/TIME START: 2010-10-03T00:00:00 * DATE/TIME END: 2010-10-22T00:00:00 * CAMPAIGN: TARA_20101003Z (Ascencion to Rio de Janiero, Stations: TARA_072-076) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20101031Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -22.988030 * LONGITUDE START: -43.139810 * LATITUDE END: -35.904730 * LONGITUDE END: -54.577170 * DATE/TIME START: 2010-10-31T00:00:00 * DATE/TIME END: 2010-11-12T00:00:00 * CAMPAIGN: TARA_20101031Z (Rio de Janiero to Buenos Aires, Stations: TARA_077-079a) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20101126Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -35.177910 * LONGITUDE START: -55.617980 * LATITUDE END: -54.817160 * LONGITUDE END: -68.268030 * DATE/TIME START: 2010-11-26T00:00:00 * DATE/TIME END: 2010-12-19T00:00:00 * CAMPAIGN: TARA_20101126Z (Buenos Aires to Ushuaia, Stations: TARA_079b-083) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20101231Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -54.918210 * LONGITUDE START: -67.530370 * LATITUDE END: -54.978490 * LONGITUDE END: -67.127740 * DATE/TIME START: 2010-12-31T00:00:00 * DATE/TIME END: 2011-01-28T00:00:00 * CAMPAIGN: TARA_20101231Z (Ushuaia to Puerto Williams, Stations: TARA_084-089) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110203Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -54.920960 * LONGITUDE START: -67.594220 * LATITUDE END: -41.514320 * LONGITUDE END: -72.996850 * DATE/TIME START: 2011-02-03T00:00:00 * DATE/TIME END: 2011-02-16T00:00:00 * CAMPAIGN: TARA_20110203Z (Puerto Williams to Puerto Montt, Stations: none) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110220Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -41.722800 * LONGITUDE START: -72.861510 * LATITUDE END: -33.012560 * LONGITUDE END: -71.591770 * DATE/TIME START: 2011-02-20T00:00:00 * DATE/TIME END: 2011-02-26T00:00:00 * CAMPAIGN: TARA_20110220Z (Puerto Montt to Valparaiso, Stations: TARA_090-092) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110311Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -33.102090 * LONGITUDE START: -71.802890 * LATITUDE END: -27.159910 * LONGITUDE END: -109.458530 * DATE/TIME START: 2011-03-11T00:00:00 * DATE/TIME END: 2011-03-30T00:00:00 * CAMPAIGN: TARA_20110311Z (Valparaiso to Easter Island, Stations: TARA_093-097) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110401Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -27.134320 * LONGITUDE START: -109.452090 * LATITUDE END: -3.432900 * LONGITUDE END: -80.780510 * DATE/TIME START: 2011-04-01T00:00:00 * DATE/TIME END: 2011-04-25T00:00:00 * CAMPAIGN: TARA_20110401Z (Easter Island to Guayaquil, Stations: TARA_098-102) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110501Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -2.914590 * LONGITUDE START: -81.589620 * LATITUDE END: -0.647700 * LONGITUDE END: -89.234610 * DATE/TIME START: 2011-05-01T00:00:00 * DATE/TIME END: 2011-05-07T00:00:00 * CAMPAIGN: TARA_20110501Z (Guayaquil to Puerto Ayora, Stations: TARA_103-106) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110509Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -0.759090 * LONGITUDE START: -90.294140 * LATITUDE END: -2.593950 * LONGITUDE END: -80.732630 * DATE/TIME START: 2011-05-09T00:00:00 * DATE/TIME END: 2011-05-16T00:00:00 * CAMPAIGN: TARA_20110509Z (Puerto Ayora to Guayaquil, Stations: TARA_107-109) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
	TARA_20110520Z_UDW_EVENT_BATOS ([day/night] [atmospheric boundary layer]) * LATITUDE START: -2.609720 * LONGITUDE START: -80.815460 * LATITUDE END: -23.129010 * LONGITUDE END: -135.015130 * DATE/TIME START: 2011-05-20T00:00:00 * DATE/TIME END: 2011-06-19T00:00:00 * CAMPAIGN: TARA_20110520Z (Guayaquil to Totegegie, Stations: TARA_110-113) * BASIS: SV Tara (URI: https://en.wikipedia.org/wiki/Tara_expedition) * METHOD/DEVICE: Meteo France Voluntary Observing Ships meteorological station ([BATOS]) (URI: https://doi.org/10.5281/zenodo.376426)
